sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,content_fidelity,perceptual_enhancement,final_rr_score
SUPIR:voc_emotic_ava___VOC2012__2010_004399,SUPIR,voc_emotic_ava___VOC2012__2010_004399.png,dataset/sr/SUPIR/voc_emotic_ava___VOC2012__2010_004399.png,dataset/hr/voc_emotic_ava___VOC2012__2010_004399.png,dataset/lr/voc_emotic_ava___VOC2012__2010_004399.png,0.9111517071723938,0.9182782173156738,0.9147149622440338
SUPIR:voc_emotic_ava___VOC2012__2012_004043,SUPIR,voc_emotic_ava___VOC2012__2012_004043.png,dataset/sr/SUPIR/voc_emotic_ava___VOC2012__2012_004043.png,dataset/hr/voc_emotic_ava___VOC2012__2012_004043.png,dataset/lr/voc_emotic_ava___VOC2012__2012_004043.png,0.9155663251876831,0.9161919355392456,0.9158791303634644
RealESRGAN:1024x768___4962875195,RealESRGAN,1024x768___4962875195.png,dataset/sr/RealESRGAN/1024x768___4962875195.png,dataset/hr/1024x768___4962875195.png,dataset/lr/1024x768___4962875195.png,0.9577292203903198,0.960362434387207,0.9590458273887634
RealESRGAN:ava_images___101816,RealESRGAN,ava_images___101816.png,dataset/sr/RealESRGAN/ava_images___101816.png,dataset/hr/ava_images___101816.png,dataset/lr/ava_images___101816.png,0.9014478921890259,0.9044820666313171,0.9029649794101715
RealESRGAN:ava_images___158174,RealESRGAN,ava_images___158174.png,dataset/sr/RealESRGAN/ava_images___158174.png,dataset/hr/ava_images___158174.png,dataset/lr/ava_images___158174.png,0.8745543956756592,0.884163498878479,0.8793589472770691
RealESRGAN:ava_images___18037,RealESRGAN,ava_images___18037.png,dataset/sr/RealESRGAN/ava_images___18037.png,dataset/hr/ava_images___18037.png,dataset/lr/ava_images___18037.png,0.9175472259521484,0.9273810386657715,0.92246413230896
RealESRGAN:ava_images___217590,RealESRGAN,ava_images___217590.png,dataset/sr/RealESRGAN/ava_images___217590.png,dataset/hr/ava_images___217590.png,dataset/lr/ava_images___217590.png,0.938568651676178,0.9359004497528076,0.9372345507144928
RealESRGAN:ava_images___251530,RealESRGAN,ava_images___251530.png,dataset/sr/RealESRGAN/ava_images___251530.png,dataset/hr/ava_images___251530.png,dataset/lr/ava_images___251530.png,0.9292879104614258,0.951162576675415,0.9402252435684204
RealESRGAN:ava_images___253900,RealESRGAN,ava_images___253900.png,dataset/sr/RealESRGAN/ava_images___253900.png,dataset/hr/ava_images___253900.png,dataset/lr/ava_images___253900.png,0.9361788034439087,0.9473717212677002,0.9417752623558044
RealESRGAN:ava_images___273810,RealESRGAN,ava_images___273810.png,dataset/sr/RealESRGAN/ava_images___273810.png,dataset/hr/ava_images___273810.png,dataset/lr/ava_images___273810.png,0.8917434215545654,0.8968853950500488,0.8943144083023071
