name,min,max,mean,median,std,p05,p95,area00,area05,area075
RealESRGAN/ava_images___436880.npy.gz,0.0,0.2287255823612213,0.12977394461631775,0.1364976167678833,0.05230272188782692,0.0,0.19729965925216675,0.9191176470588235,0.0,0.0
RealESRGAN/ava_images___46021.npy.gz,0.0,0.19032514095306396,0.061026595532894135,0.06310123205184937,0.03699937462806702,0.0,0.11241108179092407,0.893802966101695,0.0,0.0
RealESRGAN/ava_images___472713.npy.gz,0.0,0.1426318883895874,0.07536304742097855,0.08296594023704529,0.03854832425713539,0.0,0.1269928216934204,0.8862920168067226,0.0,0.0
RealESRGAN/ava_images___501777.npy.gz,0.0,0.21160650253295898,0.08841113746166229,0.08945262432098389,0.04562303051352501,0.0,0.16951560974121094,0.9273830935251799,0.0,0.0
RealESRGAN/ava_images___564572.npy.gz,0.0,0.19560003280639648,0.06642066687345505,0.061198651790618896,0.05080403760075569,0.0,0.14851707220077515,0.9283371913580247,0.0,0.0
RealESRGAN/ava_images___588008.npy.gz,0.0,0.12412813305854797,0.033115994185209274,0.02109450101852417,0.033338513225317,0.0,0.10416710376739502,0.8544921875,0.0,0.0
RealESRGAN/ava_images___645845.npy.gz,0.0,0.24405646324157715,0.07981936633586884,0.07186201214790344,0.058079786598682404,0.0,0.19646063446998596,0.850554435483871,0.0,0.0
RealESRGAN/ava_images___699615.npy.gz,0.0,0.19106346368789673,0.06724303960800171,0.07561931014060974,0.05423511192202568,0.0,0.15146616101264954,0.8280194502678779,0.0,0.0
RealESRGAN/ava_images___710191.npy.gz,0.0,0.24933123588562012,0.06793566793203354,0.04607647657394409,0.07026519626379013,0.0,0.18584907054901123,0.8644979508196722,0.0,0.0
RealESRGAN/ava_images___737450.npy.gz,0.0,0.14009475708007812,0.052186720073223114,0.048266321420669556,0.03450696915388107,0.0,0.11099427938461304,0.8844339622641509,0.0,0.0
RealESRGAN/ava_images___74410.npy.gz,0.0,0.2624112069606781,0.1407400220632553,0.15265411138534546,0.06527816504240036,0.0,0.21939998865127563,0.8644979508196722,0.0,0.0
RealESRGAN/ava_images___751927.npy.gz,0.0,0.16061130166053772,0.06001484394073486,0.0516180694103241,0.042226649820804596,0.0,0.13750740885734558,0.9283371913580247,0.0,0.0
RealESRGAN/ava_images___773899.npy.gz,0.0,0.23454338312149048,0.07786431908607483,0.0683581531047821,0.06567048281431198,0.0,0.19205504655838013,0.8761682242990654,0.0,0.0
RealESRGAN/ava_images___827653.npy.gz,0.0,0.2576550245285034,0.08405181765556335,0.08463174104690552,0.05149035528302193,0.0,0.170217365026474,0.8761682242990654,0.0,0.0
RealESRGAN/ava_images___842206.npy.gz,0.019089996814727783,0.26040345430374146,0.10169190168380737,0.09611569344997406,0.04655897989869118,0.035069018602371216,0.18851375579833984,1.0,0.0,0.0
RealESRGAN/ava_images___846773.npy.gz,0.012973934412002563,0.2505921423435211,0.11803866922855377,0.11630935966968536,0.060432758182287216,0.026156872510910034,0.22310197353363037,1.0,0.0,0.0
RealESRGAN/ava_images___857447.npy.gz,0.0,0.28052666783332825,0.138742133975029,0.14876431226730347,0.07253224402666092,0.0033553242683410645,0.2395542860031128,0.9973404255319149,0.0,0.0
RealESRGAN/ava_images___864250.npy.gz,0.0,0.23520725965499878,0.11014043539762497,0.10734057426452637,0.043200984597206116,0.045044779777526855,0.18380215764045715,0.9615384615384616,0.0,0.0
RealESRGAN/ava_images___865616.npy.gz,0.0,0.2606026828289032,0.11804015189409256,0.12273037433624268,0.06395266950130463,0.0,0.2154221534729004,0.9283371913580247,0.0,0.0
RealESRGAN/ava_images___953752.npy.gz,0.0,0.2720331847667694,0.10246642678976059,0.11340796947479248,0.060240041464567184,0.016250014305114746,0.19727405905723572,0.9789156626506024,0.0,0.0
RealESRGAN/blur_dataset___out_of_focus0685.npy.gz,0.0,0.18080413341522217,0.07713840156793594,0.07925361394882202,0.040786925703287125,0.0,0.1323898434638977,0.8844339622641509,0.0,0.0
RealESRGAN/voc_emotic_ava___EMOTIC__COCO_train2014_000000244530.npy.gz,0.0,0.27225449681282043,0.10324250161647797,0.1081952452659607,0.05440225079655647,0.0,0.18814575672149658,0.87890625,0.0,0.0
